emp1,occ1,share,w,N,Nw
0,-1,.0041606,,5602,0
0,1,.0019566,,2630,0
0,2,.0011209,,1508,0
0,3,.0006633,,892,0
0,4,.0003904,,526,0
0,5,.0002173,,292,0
0,6,.0003388,,455,0
0,7,.0001722,,231,0
0,8,.0016543,,2222,0
0,9,.000701,,943,0
0,10,.0008053,,1081,0
0,11,.0008718,,1174,0
0,12,.0006202,,835,0
0,13,.0034564,,4649,0
0,14,.0022225,,2989,0
0,15,.0017197,,2315,0
0,16,.0040145,,5397,0
0,17,.004064,,5469,0
0,18,.000661,,887,0
0,19,.0036449,,4905,0
0,20,.000948,,1277,0
0,21,.0023245,,3129,0
0,22,.0032166,,4328,0
1,1,.1143305,22.74778,153608,7304
1,2,.0466039,22.48186,62636,4843
1,3,.0297354,27.76674,39939,2428
1,4,.0198897,29.47018,26728,2215
1,5,.0100095,24.83765,13443,1008
1,6,.0168231,21.00131,22608,2304
1,7,.0116954,25.44921,15716,819
1,8,.0592668,19.08225,79644,5844
1,9,.0198713,21.62007,26701,2038
1,10,.0593191,27.53225,79707,11900
1,11,.0217213,14.39825,29181,6126
1,12,.0194054,18.60095,26078,4293
1,13,.0518251,10.8567,69662,15341
1,14,.0356575,13.58292,47929,8325
1,15,.0357415,12.57874,48040,6723
1,16,.0952365,13.06983,127983,16637
1,17,.1099228,16.1927,147734,25898
1,18,.0080593,13.25569,10836,1711
1,19,.0518154,21.85236,69622,11355
1,20,.0319159,22.31386,42891,7525
1,21,.0535333,17.62652,71932,14790
1,22,.0576767,16.33328,77493,13723
